"id_no","binomial","B","DistRad","ProxRad","MML","WAF","astragGeomeans","relMidshaftWidth","relMetarsalLength","relMetatarsalDepth","medialVert","distalArticular"
10167,"Hippotragus equinus",23.0717,15.9025,17.77,56.50475,36.32195,26.6254715700296,-0.275553095483238,2.1137266429788,-0.265087267115238,-0.0482100656995824,0.337748775438059
10170,"Hippotragus niger",23.885225,14.44625,16.75,54.691875,37.20755,25.9472079356556,-0.250221907997673,2.0767100158378,-0.237162635452167,-0.0510872828183458,0.347989240836267
11033,"Kobus leche",21.4340666666667,10.6057,12.065,43.96,26.5589,20.0026622490875,-0.367238233117949,2.28637384402532,-0.246539136240852,0.0306891508587885,0.330591334645345
11034,"Kobus megaceros",18.348375,10.1375,12.1725,40.621975,25.422875,18.7835982544904,-0.259697027054112,2.22901745662256,-0.200501231746213,-0.041674312471925,0.313307851370316
11035,"Kobus ellipsiprymnus",24.0728666666667,13.4174,15.92,54.1925,35.3253,25.0399153985792,-0.230542484427435,2.0302876979219,-0.21117588146949,-0.0444448088325417,0.289992066543892
11036,"Kobus kob",18.94086,9.945,11.559,40.25814,25.10386,18.5568300806317,-0.262033835305619,2.1922560801365,-0.179332191041444,-0.0529027248146353,0.327199701148817
11037,"Kobus vardonii",19.9568666666667,10.1266666666667,12.4583333333333,42.4948666666667,26.3434,19.498689469235,NA,NA,NA,NA,NA
1141,"Ammodorcas clarkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12142,"Litocranius walleri",13.9578,8.1675,8.7025,30.80495,20.49605,14.4333839692812,-0.326095265778951,2.55133639787398,-0.117680537658209,0.0291596331167155,0.222328239252352
12667,"Madoqua piacentinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12668,"Madoqua saltiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12669,"Madoqua guentheri",NA,NA,NA,NA,NA,NA,-0.326867810751954,2.51533571602167,-0.2355552942672,0.0511236365411038,0.243742187394002
12670,"Madoqua kirkii",7.87556,3.997,4.393,16.30906,9.3169,7.31973624335545,-0.250563128593607,2.40128716288472,-0.237343945165899,0.0128711143091593,0.249112456940767
14602,"Neotragus pygmaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14603,"Neotragus batesi",6.82156666666667,3.05,3.56716666666667,13.4794666666667,8.19576666666667,6.06392655511721,-0.239962159233065,2.63580178824402,-0.271710857547646,0.0361644345106124,0.238735187546109
14604,"Nesotragus moschatus",7.28096666666667,3.45666666666667,4.08333333333333,14.7219,9.4347,6.77502133886385,-0.18496512986177,2.41811789135595,-0.314386186791282,-0.0241167907745502,0.229062105597561
15485,"Oreotragus oreotragus",NA,NA,NA,NA,NA,NA,-0.222584391608098,2.04766205524331,-0.299970418618718,0.0489285919977494,0.329517313366558
15568,"Oryx dammah",NA,NA,NA,NA,NA,NA,-0.367532400078426,2.17876497123911,-0.196467385234672,-0.0514492804947764,0.356088621042821
15571,"Oryx beisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15573,"Oryx gazella",20.490075,13.22125,15.2025,49.0327,34.220375,23.3292259862071,-0.291474752155088,2.1008353712695,-0.22739666474325,-0.0582727763055817,0.36154612802007
15730,"Ourebia ourebi",11.0299666666667,5.715,6.81136666666667,23.5032666666667,14.9466333333333,10.856735581973,-0.294070971317161,2.36106672081974,-0.203349164056201,0.00640845714942519,0.270480063117521
16484,"Pelea capreolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1676,"Antidorcas marsupialis",12.0885,7.5175,8.66125,28.219675,18.8644,13.3181617788108,-0.393326757374695,2.49569881064636,-0.135895753437871,0.00449921155409054,0.243011802898073
19306,"Raphicerus melanotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19307,"Raphicerus sharpei",NA,NA,NA,NA,NA,NA,-0.216624494158925,2.21487680748384,-0.170055233208483,-0.00196755672203446,0.281553773933995
19308,"Raphicerus campestris",10.489575,4.95875,5.59375,20.8831,12.9612,9.53355042042113,-0.280827911817681,2.3679589549064,-0.200794591310013,0.0157108378993149,0.288100367986148
19390,"Redunca arundinum",15.9813333333333,9.26583333333333,10.1375,35.3698166666667,22.4892833333333,16.4212932674271,-0.250548426515931,2.41344382042507,-0.160765072098511,-0.0116127089640711,0.216880678322688
19391,"Redunca fulvorufula",13.913975,7.31375,8.5325,29.677,18.80765,13.7114830628899,-0.244903227836327,2.39788216915124,-0.196290534089804,0.00274209667945111,0.261784647559664
19392,"Redunca redunca",16.34675,8.7525,9.69,34.60045,21.0142,15.8743658512696,-0.238691206446299,2.3973924939207,-0.152963058329701,-0.00446203650857422,0.212793507279303
21203,"Sylvicapra grimmia",10.681975,5.455,6.57935,22.60175,14.7553,10.5037380529653,-0.238927995317028,2.39703465967311,-0.2034381385521,-0.0337660824656131,0.179493788496291
21251,"Syncerus caffer",31.606225,18.54375,22.0375,71.827225,50.4255,34.1990753078805,-0.129373674766251,1.56457777356128,-0.297797201928159,-0.141387820017701,0.408364255223495
22046,"Tragelaphus buxtoni",25.88566,12.28,16.72,54.50714,34.8687,25.169616980881,NA,NA,NA,NA,NA
22047,"Tragelaphus eurycerus",27.1237666666667,13.8033333333333,17.9266666666667,58.5895333333333,37.3227333333333,27.1222303338096,-0.156756488961809,1.91597688849212,-0.221274532660658,-0.0844186392437336,0.225916581677173
22050,"Tragelaphus spekii",19.637725,9.485575,12.155,41.101025,25.663225,18.8631725194113,-0.185873375420146,2.26829726297958,-0.23402487550155,-0.0778921851130767,0.229129980750238
22051,"Tragelaphus scriptus",15.101,7.31166666666667,9.75666666666667,31.9878,20.0434666666667,14.7182492690363,-0.215595196851864,2.3115795366147,-0.124581878442831,-0.0440256999437039,0.166443393475583
22052,"Tragelaphus angasii",18.0964,9.49,12.5266666666667,39.6865333333333,26.3809,18.6434094856785,-0.250689637503901,2.32551933517341,-0.162532112911769,-0.015730696924421,0.140057643906644
22053,"Tragelaphus imberbis",19.6152,9.924,12.055,41.435175,26.3221,19.1261379830999,-0.30860088204981,2.42516787642876,-0.100274721437353,-0.0156793635599958,0.125040400810764
22054,"Tragelaphus strepsiceros",23.6042,12.8275,16.45,52.3354,36.164625,24.8242047743509,-0.236876008912659,2.27672122938962,-0.16925887324425,-0.0409069808946748,0.177844754876087
22055,"Tragelaphus oryx",29.9500666666667,19.5483333333333,21.7333333333333,71.137825,49.483125,33.90301442049,-0.209178062953383,1.9996661455649,-0.240791576301006,-0.08256225422693,0.320000873170656
30208,"Damaliscus pygargus",14.7904,9.935,10.95375,35.503725,22.924425,16.7284844733534,-0.354958658062462,2.3408005118998,-0.18266399113764,-0.0285025111876043,0.319534383591146
3796,"Capra nubiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3797,"Capra walie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4137,"Cephalophus adersi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4138,"Cephalophus callipygus",NA,NA,NA,NA,NA,NA,-0.205965198284765,2.22523542440778,-0.244358281091787,-0.0650432428917928,0.218809158176274
4139,"Cephalophus dorsalis",11.431,5.84625,7.8025,24.93615,16.173,11.6028071700026,-0.141125154068028,2.1291686329523,-0.214285037550753,-0.0827405533619541,0.236953548168114
4140,"Cephalophus jentinki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4141,"Cephalophus leucogaster",11.8894,5.705,7.11166666666667,24.4682333333333,14.55,11.1421889061134,-0.229006532220905,2.26310555048409,-0.201241239234687,-0.0598890984135146,0.216038006651843
4142,"Philantomba maxwellii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4143,"Philantomba monticola",7.60795,3.482325,4.4,15.304075,9.077075,6.94813946628668,-0.180593500855736,2.43395713879873,-0.222026531235356,-0.0327795811867986,0.121735475700348
4144,"Cephalophus natalensis",10.985675,5.59125,7.03875,23.4795,14.5155,10.8061354900229,-0.244272483301971,2.30656208213736,-0.194675542162599,-0.042543026491578,0.19657612869551
4145,"Cephalophus niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4146,"Cephalophus nigrifrons",11.4693,5.53,6.46,23.2956,13.820675,10.5696241276908,NA,NA,NA,NA,NA
4148,"Cephalophus ogilbyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4149,"Cephalophus rufilatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4150,"Cephalophus silvicultor",17.1867666666667,8.87666666666667,11.8766666666667,36.4979,23.9607666666667,17.3772660142011,-0.165363854844652,2.05560454677281,-0.236598436726066,-0.0857295397330886,0.284741603015816
4151,"Cephalophus spadix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4152,"Cephalophus weynsi",12.61565,5.787125,7.6775,25.84755,14.449475,11.5923838825832,-0.205100677722492,2.26010927473219,-0.202174140586491,-0.0692344500750278,0.24089689821161
4153,"Cephalophus zebra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4154,"Cephalophus harveyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44172,"Tragelaphus derbianus",30.943025,18.50665,23.23125,72.034125,50.1729,34.3869873987596,-0.153704027114688,1.97224536190468,-0.234954426994471,-0.0707755531524544,0.311958682801285
5228,"Connochaetes gnou",18.8596333333333,12.425,14.1916666666667,45.3214,31.0357,21.5777213937721,-0.300366578381096,2.09747078163828,-0.268367866502883,-0.0506313716606219,0.356875495529283
5229,"Connochaetes taurinus",21.00005,14.22375,16.315,51.333325,34.46825,24.3852958770006,-0.263241845307842,2.08812340800972,-0.22127038562381,-0.0707760861995743,0.365422625615511
550,"Aepyceros melampus",15.414775,8.995,10.2875,34.64995,22.123225,16.1346612178186,-0.317942273266259,2.41306903843168,-0.156843646033465,-0.00139852399833653,0.215430661162447
6234,"Beatragus hunteri",15.4824666666667,11.2,12.4916666666667,39.0077666666667,27.6822,18.784777280023,-0.34713913046316,2.32145883951034,-0.134365155234563,-0.0310095344038325,0.294593918043701
6235,"Damaliscus lunatus",19.357775,12.365475,14.53875,46.135,31.31435,21.8913955041274,-0.310307316038633,2.24401870308965,-0.192660782498631,-0.0488427317131005,0.346430416181074
63541,"Nanger soemmerringii",13.27545,7.735,9.2,30.4647,19.23875,14.0816722116148,-0.374225639610024,2.44560875147439,-0.137160328674643,0.0230890904828803,0.234614817224189
6793,"Dorcatragus megalotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"Alcelaphus buselaphus",17.3043,11.9796,14.033,43.11054,28.9011,20.5044886308852,-0.290750576253271,2.2128648179503,-0.174051017954305,-0.0498372631284867,0.312664827671235
8968,"Nanger dama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8969,"Gazella dorcas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8971,"Nanger granti",14.212025,8.83045,9.89625,32.901575,21.82875,15.4906985397051,-0.362222095794452,2.42715740085979,-0.142251454799706,0.00254590480634514,0.263146839541604
8972,"Gazella leptoceros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8973,"Eudorcas rufifrons",NA,NA,NA,NA,NA,NA,-0.364006431281774,2.43452436104408,-0.211221956721978,0.0194990768041438,0.296466761043518
8975,"Gazella spekei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8982,"Eudorcas thomsonii",10.33355,6.26125,7.2225,23.78395,15.4279,11.1387841396673,-0.369711945867004,2.40999106385855,-0.144490221489581,0.0184534707553002,0.274667419104404
8992,"Eudorcas albonotata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
